,Carrier,Dep Arpt,Arr Arpt,Gate Time,Dir,Slack,Gate Dep Dly,Gate Arr Dly,Carrier Delay
1,AAL,ORD,DEN,0:04,In,0,109,94,49
1,AAL,LAX,DEN,1:01,In,0,0,0,0
1,AAL,DFW,DEN,1:02,In,0,92,92,1
1,AAL,DEN,DFW,5:47,Out,1,0,0,0
1,AAL,DEN,LAX,6:25,Out,2,0,0,0
1,AAL,DEN,DFW,7:19,Out,3,0,0,0
1,AAL,DFW,DEN,8:12,In,2,0,0,0
1,AAL,DEN,MIA,8:15,Out,3,25,15,15
1,AAL,DEN,ORD,8:26,Out,4,136,135,0
1,AAL,DEN,DFW,9:08,Out,5,0,0,0
1,AAL,ORD,DEN,9:19,In,4,9,29,9
1,AAL,DFW,DEN,9:45,In,3,0,5,0
1,AAL,DEN,ORD,9:59,Out,4,14,16,0
1,AAL,DEN,DFW,10:30,Out,5,0,0,0
1,AAL,LAX,DEN,10:42,In,4,0,0,0
1,AAL,DEN,LAX,11:25,Out,5,0,0,0
1,AAL,DFW,DEN,11:46,In,4,31,41,31
1,AAL,DFW,DEN,12:29,In,3,1,9,0
1,AAL,DEN,DFW,12:37,Out,4,42,34,9
1,AAL,DEN,DFW,13:18,Out,5,8,0,0
1,AAL,DFW,DEN,13:58,In,4,0,3,0
1,AAL,DEN,DFW,14:51,Out,5,0,0,0
1,AAL,LAX,DEN,15:01,In,4,1,11,0
1,AAL,DFW,DEN,15:09,In,3,0,0,0
1,AAL,DEN,LAX,15:39,Out,4,9,6,0
1,AAL,ORD,DEN,15:46,In,3,180,226,0
1,AAL,DEN,DFW,16:05,Out,4,0,0,0
1,AAL,DEN,ORD,16:19,Out,5,219,229,0
1,AAL,ORD,DEN,16:27,In,4,43,42,0
1,AAL,DFW,DEN,16:29,In,3,2,0,0
1,AAL,DEN,ORD,17:17,Out,4,42,35,0
1,AAL,DEN,DFW,17:27,Out,5,0,0,0
1,AAL,DFW,DEN,18:17,In,4,0,7,0
1,AAL,ORD,DEN,18:21,In,3,37,36,0
1,AAL,DEN,ORD,18:54,Out,4,29,17,0
1,AAL,DEN,DFW,18:59,Out,5,0,0,0
1,AAL,LAX,DEN,19:06,In,4,0,16,0
1,AAL,MIA,DEN,19:28,In,3,0,0,0
1,AAL,DEN,LAX,20:02,Out,4,32,5,0
1,AAL,DFW,DEN,21:59,In,3,86,94,6
1,AAL,MIA,DEN,23:00,In,2,0,15,0
1,AAL,DEN,MIA,23:48,Out,3,0,0,0
2,ASA,ANC,DEN,6:38,In,-1,0,0,0
2,ASA,DEN,SEA,8:08,Out,0,0,0,0
2,ASA,SEA,DEN,11:07,In,-1,2,0,0
2,ASA,DEN,SEA,11:59,Out,0,0,0,0
2,ASA,SEA,DEN,16:28,In,-1,0,6,0
2,ASA,DEN,SEA,17:11,Out,0,0,0,0
2,ASA,SEA,DEN,19:27,In,-1,0,3,0
2,ASA,DEN,SEA,20:13,Out,0,0,0,0
2,ASA,SEA,DEN,21:04,In,-1,0,0,0
2,ASA,DEN,ANC,21:59,Out,0,0,0,0
3,DAL,DEN,CVG,6:15,Out,1,0,0,0
3,DAL,DEN,MSP,6:15,Out,2,15,4,0
3,DAL,DEN,ATL,6:17,Out,3,2,0,0
3,DAL,DEN,SLC,6:22,Out,4,0,3,0
3,DAL,DEN,DTW,6:34,Out,5,0,8,0
3,DAL,SLC,DEN,7:03,In,4,0,0,0
3,DAL,DEN,ATL,7:15,Out,5,15,2,0
3,DAL,DEN,MSP,7:30,Out,6,0,0,0
3,DAL,DEN,ATL,7:44,Out,7,0,0,0
3,DAL,DEN,SLC,7:46,Out,8,0,0,0
3,DAL,SLC,DEN,7:56,In,7,0,0,0
3,DAL,SLC,DEN,8:05,In,6,9,4,0
3,DAL,MSP,DEN,8:09,In,5,0,0,0
3,DAL,DEN,SLC,8:38,Out,6,0,0,0
3,DAL,DEN,ATL,9:01,Out,7,1,0,0
3,DAL,DEN,MSP,9:08,Out,8,0,0,0
3,DAL,ATL,DEN,9:20,In,7,0,0,0
3,DAL,CVG,DEN,9:51,In,6,0,0,0
3,DAL,SLC,DEN,10:05,In,5,0,0,0
3,DAL,DEN,ATL,10:12,Out,6,0,0,0
3,DAL,DTW,DEN,10:17,In,5,0,11,0
3,DAL,SLC,DEN,10:32,In,4,0,12,0
3,DAL,MSP,DEN,10:35,In,3,0,0,0
3,DAL,DEN,LGA,10:38,Out,4,0,7,0
3,DAL,ATL,DEN,10:47,In,3,0,0,0
3,DAL,LGA,DEN,10:54,In,2,0,17,0
3,DAL,DEN,SLC,11:10,Out,3,0,0,0
3,DAL,DEN,SLC,11:20,Out,4,0,0,0
3,DAL,DEN,MSP,11:25,Out,5,0,0,0
3,DAL,DEN,ATL,11:39,Out,6,0,0,0
3,DAL,DEN,DTW,11:45,Out,7,0,0,0
3,DAL,DEN,JFK,11:54,Out,8,0,0,0
3,DAL,SLC,DEN,12:22,In,7,0,0,0
3,DAL,ATL,DEN,12:31,In,6,0,11,0
3,DAL,MSP,DEN,12:33,In,5,3,0,0
3,DAL,DEN,SLC,12:56,Out,6,0,0,0
3,DAL,DEN,ATL,13:16,Out,7,1,0,0
3,DAL,ATL,DEN,13:25,In,6,0,0,0
3,DAL,DEN,MSP,13:30,Out,7,10,0,0
3,DAL,SLC,DEN,13:44,In,6,0,0,0
3,DAL,DTW,DEN,13:56,In,5,0,25,0
3,DAL,DEN,SLC,14:42,Out,6,0,3,0
3,DAL,SLC,DEN,14:48,In,5,0,9,0
3,DAL,ATL,DEN,14:58,In,4,1,0,0
3,DAL,DEN,ATL,15:05,Out,5,35,30,21
3,DAL,DEN,LGA,15:14,Out,6,0,0,0
3,DAL,MSP,DEN,15:42,In,5,6,7,0
3,DAL,DEN,MSP,15:56,Out,6,12,1,0
3,DAL,DEN,DTW,16:33,Out,7,18,0,0
3,DAL,MSP,DEN,16:41,In,6,0,0,0
3,DAL,DEN,MSP,17:32,Out,7,0,0,0
3,DAL,ATL,DEN,17:39,In,6,73,79,10
3,DAL,JFK,DEN,18:29,In,5,0,0,0
3,DAL,DEN,ATL,18:32,Out,6,92,87,12
3,DAL,MSP,DEN,19:05,In,5,6,21,0
3,DAL,ATL,DEN,19:25,In,4,1,10,0
3,DAL,DTW,DEN,20:28,In,3,71,83,66
3,DAL,ATL,DEN,21:29,In,2,56,34,0
3,DAL,LGA,DEN,21:40,In,1,55,74,55
3,DAL,MSP,DEN,22:59,In,0,0,0,0
4,FFT,BNA,DEN,3:26,In,1,620,621,620
4,FFT,ANC,DEN,5:40,In,0,0,0,0
4,FFT,FAI,DEN,5:50,In,-1,3,0,0
4,FFT,DEN,MDW,6:02,Out,0,0,8,0
4,FFT,DEN,SEA,6:28,Out,1,0,0,0
4,FFT,MCI,DEN,7:03,In,0,0,0,0
4,FFT,DEN,LGA,7:08,Out,1,8,8,0
4,FFT,DEN,MSP,7:14,Out,2,0,0,0
4,FFT,DAY,DEN,7:16,In,1,0,0,0
4,FFT,STL,DEN,7:18,In,0,0,0,0
4,FFT,DEN,IAH,7:18,Out,1,0,0,0
4,FFT,AUS,DEN,7:21,In,0,0,0,0
4,FFT,ATL,DEN,7:24,In,-1,0,4,0
4,FFT,DEN,DCA,7:24,Out,0,0,5,0
4,FFT,OMA,DEN,7:26,In,-1,0,0,0
4,FFT,MSP,DEN,7:28,In,-2,0,0,0
4,FFT,CAK,DEN,7:29,In,-3,0,6,0
4,FFT,DTW,DEN,7:29,In,-4,0,0,0
4,FFT,MDW,DEN,7:30,In,-5,0,2,0
4,FFT,MKE,DEN,7:38,In,-6,0,8,0
4,FFT,OKC,DEN,7:39,In,-7,0,0,0
4,FFT,IND,DEN,7:41,In,-8,0,2,0
4,FFT,DEN,DFW,7:53,Out,-7,53,56,10
4,FFT,DEN,PHX,8:02,Out,-6,0,0,0
4,FFT,DSM,DEN,8:06,In,-7,39,33,33
4,FFT,DEN,LAS,8:11,Out,-6,1,2,0
4,FFT,DEN,ABQ,8:11,Out,-5,6,3,0
4,FFT,DEN,SNA,8:12,Out,-4,2,5,0
4,FFT,DEN,SAN,8:19,Out,-3,4,4,0
4,FFT,DEN,BZN,8:22,Out,-2,2,11,0
4,FFT,DEN,GEG,8:23,Out,-1,0,0,0
4,FFT,DEN,SEA,8:23,Out,0,8,15,8
4,FFT,DEN,SLC,8:24,Out,1,9,3,0
4,FFT,DEN,PDX,8:31,Out,2,6,12,0
4,FFT,DEN,FLL,8:40,Out,3,100,88,88
4,FFT,SLC,DEN,8:40,In,2,0,0,0
4,FFT,DEN,SFO,8:43,Out,3,28,47,0
4,FFT,DEN,BIL,8:44,Out,4,29,42,0
4,FFT,DEN,BLI,8:48,Out,5,38,32,0
4,FFT,DEN,MDW,8:51,Out,6,31,33,31
4,FFT,DEN,LAX,9:19,Out,7,19,21,0
4,FFT,PHL,DEN,9:29,In,6,0,1,0
4,FFT,PDX,DEN,9:33,In,5,0,0,0
4,FFT,PHX,DEN,9:33,In,4,0,5,0
4,FFT,SMF,DEN,9:33,In,3,0,0,0
4,FFT,LGA,DEN,9:34,In,2,0,16,0
4,FFT,SAN,DEN,9:36,In,1,0,0,0
4,FFT,LAS,DEN,9:38,In,0,0,0,0
4,FFT,DFW,DEN,9:43,In,-1,7,16,7
4,FFT,GEG,DEN,9:46,In,-2,0,12,0
4,FFT,SEA,DEN,9:48,In,-3,6,2,0
4,FFT,SFO,DEN,9:53,In,-4,0,7,0
4,FFT,LAX,DEN,9:55,In,-5,4,11,0
4,FFT,SNA,DEN,9:59,In,-6,0,0,0
4,FFT,DEN,LAS,10:14,Out,-5,24,29,0
4,FFT,DEN,GTF,10:17,Out,-4,122,122,0
4,FFT,DEN,ATL,10:22,Out,-3,3,7,0
4,FFT,DEN,DFW,10:26,Out,-2,0,11,0
4,FFT,DEN,MSP,10:29,Out,-1,10,9,0
4,FFT,MSN,DEN,10:31,In,-2,0,0,0
4,FFT,DEN,MDT,10:36,Out,-1,1,10,0
4,FFT,DCA,DEN,10:37,In,-2,0,0,0
4,FFT,DEN,DTW,10:40,Out,-1,0,3,0
4,FFT,DEN,DSM,10:40,Out,0,7,3,0
4,FFT,DEN,CAK,10:41,Out,1,0,7,0
4,FFT,BNA,DEN,10:45,In,0,0,0,0
4,FFT,DEN,DAY,10:45,Out,1,0,0,0
4,FFT,DEN,STL,10:48,Out,2,8,15,8
4,FFT,DEN,MKE,10:49,Out,3,14,8,0
4,FFT,LAS,DEN,10:51,In,2,0,0,0
4,FFT,TPA,DEN,10:54,In,1,0,4,0
4,FFT,SEA,DEN,10:56,In,0,0,0,0
4,FFT,GRR,DEN,11:05,In,-1,10,15,10
4,FFT,ABQ,DEN,11:06,In,-2,0,0,0
4,FFT,LAX,DEN,11:09,In,-3,105,109,0
4,FFT,DEN,AUS,11:13,Out,-2,23,17,0
4,FFT,LGA,DEN,11:16,In,-3,0,8,0
4,FFT,DEN,BIS,11:18,Out,-2,24,22,0
4,FFT,MCO,DEN,11:30,In,-3,0,6,0
4,FFT,MCI,DEN,11:32,In,-4,105,94,94
4,FFT,DEN,MCO,11:36,Out,-3,56,71,14
4,FFT,DEN,IND,11:41,Out,-2,3,13,0
4,FFT,SLC,DEN,11:41,In,-3,0,1,0
4,FFT,DEN,DCA,11:42,Out,-2,0,22,0
4,FFT,DEN,SDF,11:43,Out,-1,13,3,0
4,FFT,MSP,DEN,11:49,In,-2,0,0,0
4,FFT,SFO,DEN,11:55,In,-3,0,0,0
4,FFT,SAN,DEN,12:01,In,-4,0,0,0
4,FFT,BZN,DEN,12:04,In,-5,7,0,0
4,FFT,MDW,DEN,12:07,In,-6,0,36,0
4,FFT,PHX,DEN,12:11,In,-7,0,0,0
4,FFT,DEN,PHF,12:14,Out,-6,54,53,3
4,FFT,BIL,DEN,12:17,In,-7,36,36,0
4,FFT,DEN,LGA,12:18,Out,-6,88,98,1
4,FFT,LAX,DEN,12:19,In,-7,0,0,0
4,FFT,IAH,DEN,12:19,In,-8,0,0,0
4,FFT,DEN,SEA,12:21,Out,-7,6,5,0
4,FFT,DFW,DEN,12:21,In,-8,54,54,1
4,FFT,DEN,MDW,12:29,Out,-7,39,34,0
4,FFT,LAS,DEN,12:29,In,-8,2,1,0
4,FFT,SEA,DEN,12:29,In,-9,0,0,0
4,FFT,PDX,DEN,12:36,In,-10,29,20,20
4,FFT,DEN,SLC,12:39,Out,-9,19,20,18
4,FFT,DEN,JAC,12:43,Out,-8,28,35,28
4,FFT,DEN,PDX,12:51,Out,-7,6,3,0
4,FFT,DEN,SFO,12:53,Out,-6,33,29,6
4,FFT,DEN,DFW,12:58,Out,-5,0,0,0
4,FFT,DEN,SMF,12:58,Out,-4,0,0,0
4,FFT,DEN,MSP,13:06,Out,-3,0,0,0
4,FFT,GEG,DEN,13:13,In,-4,0,0,0
4,FFT,DEN,ATL,13:14,Out,-3,0,0,0
4,FFT,DEN,MCI,13:14,Out,-2,0,0,0
4,FFT,DEN,BNA,13:15,Out,-1,120,114,84
4,FFT,DEN,SNA,13:15,Out,0,5,2,0
4,FFT,SNA,DEN,13:17,In,-1,4,2,0
4,FFT,DEN,SBA,13:17,Out,0,22,20,0
4,FFT,DEN,BIL,13:19,Out,1,9,12,0
4,FFT,DEN,BZN,13:22,Out,2,12,9,0
4,FFT,DEN,GEG,13:27,Out,3,63,63,26
4,FFT,DEN,SAN,13:32,Out,4,22,12,0
4,FFT,SAN,DEN,13:38,In,3,4,7,0
4,FFT,DEN,LAS,14:01,Out,4,4,0,0
4,FFT,DEN,PHX,14:04,Out,5,0,0,0
4,FFT,GTF,DEN,14:10,In,4,124,100,0
4,FFT,MDW,DEN,14:14,In,3,25,30,0
4,FFT,PDX,DEN,14:16,In,2,11,6,0
4,FFT,OMA,DEN,14:18,In,1,2,0,0
4,FFT,SEA,DEN,14:20,In,0,8,0,0
4,FFT,LAS,DEN,14:21,In,-1,22,11,0
4,FFT,DEN,LAX,14:23,Out,0,83,86,5
4,FFT,SFO,DEN,14:32,In,-1,32,30,0
4,FFT,LAX,DEN,14:45,In,-2,16,26,0
4,FFT,BLI,DEN,14:54,In,-3,34,29,2
4,FFT,DEN,IAH,15:00,Out,-2,0,0,0
4,FFT,DEN,DTW,15:04,Out,-1,89,78,0
4,FFT,MSP,DEN,15:05,In,-2,11,16,2
4,FFT,DSM,DEN,15:06,In,-3,8,40,0
4,FFT,DEN,SLC,15:06,Out,-2,6,6,0
4,FFT,DFW,DEN,15:08,In,-3,0,0,0
4,FFT,DEN,MDW,15:10,Out,-2,5,8,0
4,FFT,BIS,DEN,15:11,In,-3,30,36,0
4,FFT,DEN,PHL,15:15,Out,-2,0,0,0
4,FFT,DEN,LGA,15:19,Out,-1,9,0,0
4,FFT,DEN,CID,15:19,Out,0,9,0,0
4,FFT,DEN,OMA,15:23,Out,1,138,131,0
4,FFT,DEN,IND,15:24,Out,2,24,25,0
4,FFT,DEN,OKC,15:26,Out,3,16,14,0
4,FFT,DCA,DEN,15:33,In,2,4,18,0
4,FFT,DEN,MKE,15:33,Out,3,28,20,0
4,FFT,BBG,DEN,15:38,In,2,0,0,0
4,FFT,DEN,OMA,15:39,Out,3,14,11,0
4,FFT,DEN,AUS,15:41,Out,4,16,11,0
4,FFT,DEN,LIT,15:46,Out,5,36,27,0
4,FFT,DEN,MSP,15:48,Out,6,13,13,0
4,FFT,AUS,DEN,15:55,In,5,12,15,0
4,FFT,MKE,DEN,16:05,In,4,9,11,0
4,FFT,JAC,DEN,16:11,In,3,22,26,0
4,FFT,LGA,DEN,16:13,In,2,10,29,2
4,FFT,SLC,DEN,16:13,In,1,20,33,0
4,FFT,STL,DEN,16:32,In,0,23,61,11
4,FFT,DEN,DCA,16:34,Out,1,0,0,0
4,FFT,DEN,PHX,16:36,Out,2,1,6,0
4,FFT,DEN,LAX,16:37,Out,3,7,22,7
4,FFT,BIL,DEN,16:41,In,2,9,15,0
4,FFT,DEN,DFW,16:43,Out,3,48,39,0
4,FFT,DEN,STL,16:53,Out,4,88,83,0
4,FFT,DEN,PDX,16:57,Out,5,27,29,6
4,FFT,BZN,DEN,17:03,In,4,0,1,0
4,FFT,DEN,SFO,17:08,Out,5,33,32,10
4,FFT,DEN,LAS,17:09,Out,6,44,48,0
4,FFT,DTW,DEN,17:17,In,5,0,4,0
4,FFT,MCI,DEN,17:17,In,4,2,2,0
4,FFT,ATL,DEN,17:20,In,3,1,9,0
4,FFT,FLL,DEN,17:25,In,2,80,102,0
4,FFT,DAY,DEN,17:28,In,1,8,26,8
4,FFT,DFW,DEN,17:33,In,0,0,1,0
4,FFT,CAK,DEN,17:37,In,-1,10,15,3
4,FFT,STL,DEN,17:48,In,-2,2,8,0
4,FFT,MSP,DEN,17:51,In,-3,1,11,0
4,FFT,SDF,DEN,17:51,In,-4,1,29,0
4,FFT,MDW,DEN,17:53,In,-5,29,34,0
4,FFT,DEN,OMA,17:58,Out,-4,1,0,0
4,FFT,DEN,LGA,17:59,Out,-3,4,0,0
4,FFT,IND,DEN,18:01,In,-4,12,44,0
4,FFT,DEN,SEA,18:05,Out,-3,95,94,0
4,FFT,LAS,DEN,18:15,In,-4,0,0,0
4,FFT,DEN,SLC,18:16,Out,-3,11,11,0
4,FFT,DEN,SNA,18:16,Out,-2,11,5,0
4,FFT,SEA,DEN,18:18,In,-3,8,0,0
4,FFT,DEN,LAX,18:19,Out,-2,9,9,0
4,FFT,SNA,DEN,18:21,In,-3,1,6,0
4,FFT,DEN,SMF,18:22,Out,-2,2,0,0
4,FFT,DEN,DFW,18:23,Out,-1,23,12,0
4,FFT,PHX,DEN,18:27,In,-2,0,4,0
4,FFT,SMF,DEN,18:27,In,-3,0,2,0
4,FFT,DEN,PDX,18:28,Out,-2,13,7,0
4,FFT,SLC,DEN,18:29,In,-3,0,4,0
4,FFT,DEN,SEA,18:32,Out,-2,22,22,4
4,FFT,GEG,DEN,18:33,In,-3,61,66,0
4,FFT,DEN,MCO,18:35,Out,-2,115,118,4
4,FFT,PDX,DEN,18:37,In,-3,0,7,0
4,FFT,DEN,SFO,18:39,Out,-2,29,19,8
4,FFT,SAN,DEN,18:40,In,-3,15,20,4
4,FFT,DEN,ANC,18:42,Out,-2,32,34,9
4,FFT,MDT,DEN,18:43,In,-3,2,18,0
4,FFT,SFO,DEN,18:44,In,-4,17,34,6
4,FFT,DEN,MKE,18:45,Out,-3,45,42,4
4,FFT,DEN,STL,19:02,Out,-2,2,0,0
4,FFT,DEN,DAY,19:08,Out,-1,8,6,0
4,FFT,MKE,DEN,19:10,In,-2,500,511,500
4,FFT,OKC,DEN,19:13,In,-3,19,30,5
4,FFT,DEN,SAN,19:15,Out,-2,70,65,3
4,FFT,SBA,DEN,19:15,In,-3,41,51,0
4,FFT,DEN,LAS,19:17,Out,-2,52,49,1
4,FFT,DEN,IND,19:18,Out,-1,13,4,0
4,FFT,OMA,DEN,19:20,In,-2,0,6,0
4,FFT,DEN,BNA,19:25,Out,-1,15,17,0
4,FFT,DEN,CAK,19:27,Out,0,22,10,0
4,FFT,DEN,MDW,19:29,Out,1,30,24,5
4,FFT,DEN,GRR,19:31,Out,2,6,0,0
4,FFT,DEN,MCI,19:34,Out,3,14,12,0
4,FFT,CID,DEN,19:34,In,2,3,0,0
4,FFT,DEN,RFD,19:35,Out,3,35,23,0
4,FFT,LAX,DEN,19:36,In,2,82,80,0
4,FFT,DEN,DSM,19:42,Out,3,27,18,0
4,FFT,DEN,AUS,19:53,Out,4,28,21,0
4,FFT,ATL,DEN,19:57,In,3,0,0,0
4,FFT,MCO,DEN,19:57,In,2,72,67,5
4,FFT,IAH,DEN,20:10,In,1,0,0,0
4,FFT,DEN,OMA,20:12,Out,2,22,20,0
4,FFT,AUS,DEN,20:15,In,1,0,0,0
4,FFT,LIT,DEN,20:21,In,0,28,15,0
4,FFT,DEN,MSN,20:22,Out,1,67,61,0
4,FFT,MSP,DEN,20:27,In,0,9,15,0
4,FFT,PHF,DEN,20:27,In,-1,51,72,2
4,FFT,MDW,DEN,20:30,In,-2,3,0,0
4,FFT,DCA,DEN,20:42,In,-3,13,44,13
4,FFT,DEN,ATL,20:43,Out,-2,98,102,19
4,FFT,DEN,MCI,20:44,Out,-1,180,172,0
4,FFT,PHX,DEN,20:46,In,-2,0,4,0
4,FFT,IND,DEN,20:47,In,-3,14,12,0
4,FFT,MKE,DEN,20:47,In,-4,17,19,9
4,FFT,DFW,DEN,21:01,In,-5,36,38,0
4,FFT,DEN,MKE,21:08,Out,-4,73,63,1
4,FFT,DEN,PDX,21:11,Out,-3,0,0,0
4,FFT,DEN,SNA,21:16,Out,-2,6,2,0
4,FFT,DEN,DFW,21:16,Out,-1,61,54,0
4,FFT,LAS,DEN,21:23,In,-2,38,39,0
4,FFT,DEN,DTW,21:24,Out,-1,139,128,0
4,FFT,DEN,SLC,21:29,Out,0,0,0,0
4,FFT,DTW,DEN,21:31,In,-1,71,92,0
4,FFT,DEN,GEG,21:36,Out,0,11,10,0
4,FFT,SLC,DEN,21:38,In,-1,8,5,0
4,FFT,LGA,DEN,21:39,In,-2,90,108,7
4,FFT,DEN,SEA,21:41,Out,-1,26,25,13
4,FFT,DEN,SFO,21:41,Out,0,21,13,0
4,FFT,DEN,LAS,21:47,Out,1,17,14,0
4,FFT,DEN,SAN,21:58,Out,2,48,49,17
4,FFT,DEN,LAX,22:02,Out,3,37,44,0
4,FFT,DEN,SMF,22:10,Out,4,50,48,0
4,FFT,DEN,PHX,22:11,Out,5,56,60,0
4,FFT,DEN,MSP,22:22,Out,6,167,149,0
4,FFT,PDX,DEN,22:33,In,5,20,21,0
4,FFT,SFO,DEN,22:49,In,4,29,36,0
4,FFT,SNA,DEN,23:01,In,3,0,0,0
4,FFT,LAX,DEN,23:24,In,2,8,5,0
4,FFT,SEA,DEN,23:39,In,1,90,77,0
5,JBU,BOS,DEN,0:03,In,0,16,19,9
5,JBU,DEN,JFK,0:59,Out,1,4,8,0
5,JBU,BOS,DEN,12:44,In,0,75,101,75
5,JBU,DEN,BOS,13:31,Out,1,96,72,0
5,JBU,JFK,DEN,21:58,In,0,0,0,0
5,JBU,DEN,BOS,23:06,Out,1,0,0,0
6,NKS,DEN,FLL,1:22,Out,1,36,13,0
6,NKS,DFW,DEN,7:00,In,0,0,11,0
6,NKS,DEN,DFW,7:32,Out,1,2,19,0
6,NKS,LAS,DEN,10:56,In,0,4,0,0
6,NKS,DEN,LAS,11:41,Out,1,0,0,0
6,NKS,ORD,DEN,15:04,In,0,141,144,0
6,NKS,DEN,ORD,15:43,Out,1,138,137,0
6,NKS,DFW,DEN,17:45,In,0,0,10,0
6,NKS,DEN,LAS,18:20,Out,1,5,3,0
6,NKS,LAS,DEN,19:52,In,0,0,0,0
6,NKS,DEN,DFW,20:37,Out,1,0,0,0
6,NKS,FLL,DEN,23:43,In,0,0,0,0
7,SWA,DEN,ATL,5:58,Out,10,0,0,0
7,SWA,DEN,BWI,6:05,Out,11,0,0,0
7,SWA,DEN,LAS,6:06,Out,12,0,0,0
